Part Description,Supplier,Part # OEM,Machine,Location Shelf and Bin,Alternate part Number,Alternate Manufacturer,NOTES,
O Ring,,PN-001-314,,Shelf B-4 Bin 7-1,,,
O Ring,,HY-000-900,,Shelf B-4 Bin 7-1,,,
O Ring,,HY-000-919,,Shelf B-4 Bin 7-1,,,
?,,BSM-008-720,,Shelf B-4 Bin 7-1,,,
?,,ME-003-044,,Shelf B-4 Bin 7-1,,,
Contactor,,3RT2046-1KB40,,Shelf B-3 Bin 1-1,,Siemens,AC3 95A 400KV 24VDC Coil
Contactor,,3RT2025-1BB40,,Shelf B-3 Bin 1-2,,Siemens,AC3 17A 400V 7.5KW 24VDC Coil
Contactor,,3RT2026-1BB40,,Shelf B-3 Bin 1-2,,Siemens,AC3 25A 400V 11KW 24VDC Coil
Contactor,,100-C37KN00,,Shelf B-3 Bin 1-3,,,NO Aux Contact 400V 3 Poles
AUX Switch Block,,3RH1921-1DA11,,Shelf B-3 Bin 1-3,,,10A 240V
Surge Suppressor,,3RT2916-1EH00,,Shelf B-3 Bin 1-3,,,
Contactor,,3RT2036-1AB00,,Shelf B-3 Bin 1-4,,,AC3 51A 400V 22KW 24VAC Coil
Contactor,,3RT2036-1AK60,,Shelf B-3 Bin 1-4,,,AC3 51A 400V 22KW 120VAC Coil
Circuit Breaker,,1014.3475,,Shelf B-3 Bin 1-5,PKZM01-12,Eaton,
Circuit Breaker,,PKZM0-0.4,,Shelf B-3 Bin 1-5,,,
Circuit Breaker,,PKZM0-16,,Shelf B-3 Bin 1-5,,,
Contactor,,LCD1D32G7,,Shelf B-3 Bin 1-6,,,
Reversing Contactor,,LC2D18F7,,Shelf B-3 Bin 1-6,,,
Power Base,,LUB12,,Shelf B-3 Bin 1-6,,,
Auxiliary Switch Block,,3RH1911-1GA04,,Shelf B-3 Bin 2-1,,,10A 240V
Auxiliary Switch Block,,3RH1921-1HA22,,Shelf B-3 Bin 2-1,,,
Auxiliary Switch Block,,3RH2911-1GA22,,Shelf B-3 Bin 2-1,,,10A 240V
Auxiliary Switch Block,,3RH1911-1GA22,,Shelf B-3 Bin 2-1,,,
?,,3RU2116-1CB1,,Shelf B-3 Bin 2-1,,,
Overload Relay,,XTOE020BCS-GR1ZEB 12-20,,Shelf B-3 Bin 2-2,,,
Encoder Input Unit,,NX-ECO142,,Shelf B-3 Bin 2-2,,,
Overload Relay,,RW17-1D3-D012,,Shelf B-3 Bin 2-2,,,
Auxiliary Switch Block,,3RH1911-1FA22,,Shelf B-3 Bin 2-3,,,10A 240V
Circuit Breaker,,1014-2188,,Shelf B-3 Bin 2-3,PKZM0-16,,
Contactor,,3RH2131-1BB40,,Shelf B-3 Bin 2-3,,,AC15 10A 230V 31E 3NO+1NC 24VDC
Contactor,,3RT1016-1BB41,,Shelf B-3 Bin 2-4,,,AC3 9A 400V 4KW 24VDC
Contactor,,3RT2016-1BB41,,Shelf B-3 Bin 2-4,3001-0836,,
Relay,,LRD12L,,Shelf B-3 Bin 2-4,,,
Terminal Block,,LAD7B106,,Shelf B-3 Bin 2-5,,,
Overload Relay,,48TE3S00,,Shelf B-3 Bin 2-5,,,
Contactor,,3RT2016-1BB42,,Shelf B-3 Bin 2-5,,,
Circuit Breaker,,3RV1011-1KA15,,Shelf B-3 Bin 2-6,1014-3475,,
Contactor,,3RT1016-1BB42,,Shelf B-3 Bin 2-6,,,AC3 4KW 400V 240VDC 3Phase
Circuit Breaker,,3RV1011-1KA10,,Shelf B-3 Bin 2-6,,,
Contactor,,3RT2026-1BB40-1AA0,,Shelf B-3 Bin 3-1,,,400V AC 3Pole 25A 24VDC AUX
Thermal Overload Relay,,3RU2116-1CC1,,Shelf B-3 Bin 3-1,,,
Circuit Breaker,,3RU1021-0KA10,,Shelf B-3 Bin 3-2,,,
Solid State Overload Relay,,3UB8123-4DW2,,Shelf B-3 Bin 3-2,,,
Circuit Breaker,,3RV1011-1KA15,,Shelf B-3 Bin 3-3,,,
Thermal Overload Relay,,3RU2016-1CB1,,Shelf B-3 Bin 3-3,,,600VAC
Contact Kit 3 Poles,,CLMCK03,,Shelf B-3 Bin 3-4,,,
Contactor Reversing Comb,,3RT2017-1AK62,,Shelf B-3 Bin 3-4,,,20A 600V 120VAC Coil
Contactor Relay,,3RH2140-1BB40,,Shelf B-3 Bin 3-5,SAS-EL-001-630,,
Contactor Reversing Comb,,3RA2315-8XB30-1AK6,,Shelf B-3 Bin 3-5,,,
Control Relay,,3TH42-80-0AK6,,Shelf B-3 Bin 3-6,,,120V
Circuit Breaker 3 Pole,,FAZ-D5/3-NA,,Shelf B-3 Bin 3-6,,,480/277VAC
Multifunction Control Unit,,LUCM12BL,,Shelf B-3 Bin 3-6,,,
Thermal Overload Relay,,ESP200,,Shelf B-3 Bin 3-6,,,
Power Base,,LUB32,,Shelf B-3 Bin 4-1,,,
Multifunction Control Unit,,LUC12BL,,Shelf B-3 Bin 4-2,,,
Power Base,,LUB12,,Shelf B-3 Bin 4-2,,,
Multifunction Control Unit,,LUCM32BL,,Shelf B-3 Bin 4-2,,,
AUX Contactor,,3RH1131-1BB40,,Shelf B-3 Bin 4-3,,,
Protective Switch,,NHI11-PKZO,,Shelf B-3 Bin 4-3,,,
Contactor,,87560644-0484001773/0079-8,,Shelf B-3 Bin 4-4,,Demag,115V
Manual Motor Starter,,MS325-6.3,,Shelf B-3 Bin 4-4,,,
